Analyte (CAS No.),CAS No.,"Resident Soil
Antimony Tetroxide (1332-81-6),1332-81-6,3.1,n,47,n,        ,,        ,,0.78,n,,        ,n,,Antimony Tetroxide
Antimony Trioxide (1309-64-4),1309-64-4,28000,n,120000,nm,0.021,n,0.088,n,        ,,,        ,,,Antimony Trioxide
"Arsenic, Inorganic (7440-38-2)",7440-38-2,0.68,c**R,3,c*R,0.00065,c**,0.0029,c**,0.052,c*,10,0.0015,c*,0.29,"Arsenic, Inorganic"
Arsine (7784-42-1),7784-42-1,0.027,n,0.41,n,0.0052,n,0.022,n,0.007,n,,        ,n,,Arsine
Asulam (3337-71-1),3337-71-1,230,n,3000,n,        ,,        ,,72,n,,0.018,n,,Asulam
Atrazine (1912-24-9),1912-24-9,2.4,c*,10,c,        ,,        ,,0.3,c,3,0.0002,c,0.0019,Atrazine
Auramine (492-80-8),492-80-8,0.62,c,2.6,c,0.011,c,0.049,c,0.067,c,,0.00061,c,,Auramine
Avermectin B1 (65195-55-3),65195-55-3,2.5,n,33,n,        ,,        ,,0.8,n,,1.4,n,,Avermectin B1
Azinphos-methyl (86-50-0),86-50-0,19,n,250,n,1,n,4.4,n,5.6,n,,0.0017,n,,Azinphos-methyl
Azobenzene (103-33-3),103-33-3,5.6,c,26,c,0.091,c,0.4,c,0.12,c,,0.00093,c,,Azobenzene
Azodicarbonamide (123-77-3),123-77-3,860,n,4000,n,0.00073,n,0.0031,n,2000,n,,0.68,n,,Azodicarbonamide
Barium (7440-39-3),7440-39-3,1500,n,22000,n,0.052,n,0.22,n,380,n,2000,16,n,82,Barium
Benfluralin (1861-40-1),1861-40-1,39,n,580,n,        ,,        ,,2.8,n,,0.094,n,,Benfluralin
Benomyl (17804-35-2),17804-35-2,320,n,4100,n,        ,,        ,,97,n,,0.085,n,,Benomyl
Bensulfuron-methyl (83055-99-6),83055-99-6,1300,n,16000,n,        ,,        ,,390,n,,0.1,n,,Bensulfuron-methyl
Bentazon (25057-89-0),25057-89-0,190,n,2500,n,        ,,        ,,57,n,,0.012,n,,Bentazon
Benzaldehyde (100-52-7),100-52-7,170,c**,820,c*,        ,,        ,,19,c*,,0.0041,c*,,Benzaldehyde
Benzene (71-43-2),71-43-2,1.2,c**,5.1,c**,0.36,c**,1.6,c**,0.46,c**,5,0.00023,c**,0.0026,Benzene
"Benzenediamine-2-methyl sulfate, 1,4- (6369-59-1)",6369-59-1,1.9,n,23,c**,        ,,        ,,0.6,n,,0.00017,n,,"Benzenediamine-2-methyl sulfate, 1,4-"
Benzenethiol (108-98-5),108-98-5,7.8,n,120,n,        ,,        ,,1.7,n,,0.0011,n,,Benzenethiol
Benzidine (92-87-5),92-87-5,0.00053,c,0.01,c,1.5E-05,c,0.00018,c,0.00011,c,,2.8E-07,c,,Benzidine
Benzoic Acid (65-85-0),65-85-0,25000,n,330000,nm,        ,,        ,,7500,n,,1.5,n,,Benzoic Acid
Benzotrichloride (98-07-7),98-07-7,0.053,c,0.25,c,        ,,        ,,0.003,c,,6.6E-06,c,,Benzotrichloride
Benzyl Alcohol (100-51-6),100-51-6,630,n,8200,n,        ,,        ,,200,n,,0.048,n,,Benzyl Alcohol
Benzyl Chloride (100-44-7),100-44-7,1.1,c**,4.8,c**,0.057,c**,0.25,c**,0.089,c**,,9.8E-05,c**,,Benzyl Chloride
Beryllium and compounds (7440-41-7),7440-41-7,16,n,230,n,0.0012,c**,0.0051,c**,2.5,n,4,1.9,n,3.2,Beryllium and compounds
Bifenox (42576-02-3),42576-02-3,57,n,740,n,        ,,        ,,10,n,,0.076,n,,Bifenox
Biphenthrin (82657-04-3),82657-04-3,95,n,1200,n,        ,,        ,,30,n,,140,n,,Biphenthrin
"Biphenyl, 1,1'- (92-52-4)",92-52-4,4.7,n,20,n,0.042,n,0.18,n,0.083,n,,0.00087,n,,"Biphenyl, 1,1'-"
Bis(2-chloro-1-methylethyl) ether (108-60-1),108-60-1,310,n,4700,ns,        ,,        ,,71,n,,0.026,n,,Bis(2-chloro-1-methylethyl) ether
Bis(2-chloroethoxy)methane (111-91-1),111-91-1,19,n,250,n,        ,,        ,,5.9,n,,0.0013,n,,Bis(2-chloroethoxy)methane
Bis(2-chloroethyl)ether (111-44-4),111-44-4,0.23,c,1,c,0.0085,c,0.037,c,0.014,c,,3.6E-06,c,,Bis(2-chloroethyl)ether
Bis(chloromethyl)ether (542-88-1),542-88-1,8.3E-05,c,0.00036,c,4.5E-05,c,0.0002,c,7.2E-05,c,,1.7E-08,c,,Bis(chloromethyl)ether
Bisphenol A (80-05-7),80-05-7,320,n,4100,n,        ,,        ,,77,n,,5.8,n,,Bisphenol A
Boron And Borates Only (7440-42-8),7440-42-8,1600,n,23000,n,2.1,n,8.8,n,400,n,,1.3,n,,Boron And Borates Only
Boron Trichloride (10294-34-5),10294-34-5,16000,n,230000,nm,2.1,n,8.8,n,4.2,n,,        ,n,,Boron Trichloride
Boron Trifluoride (7637-07-2),7637-07-2,310,n,4700,n,1.4,n,5.7,n,2.6,n,,        ,n,,Boron Trifluoride
Bromate (15541-45-4),15541-45-4,0.99,c*,4.7,c,        ,,        ,,0.11,c*,10,0.00085,c*,0.077,Bromate
"Bromo-2-chloroethane, 1- (107-04-0)",107-04-0,0.026,c,0.11,c,0.0047,c,0.02,c,0.0074,c,,2.1E-06,c,,"Bromo-2-chloroethane, 1-"
"Bromo-3-fluorobenzene, 1- (1073-06-9)",1073-06-9,2.3,n,35,n,        ,,        ,,0.49,n,,0.00047,n,,"Bromo-3-fluorobenzene, 1-"
"Bromo-4-fluorobenzene, 1- (460-00-4)",460-00-4,2.3,n,35,n,        ,,        ,,0.46,n,,0.00044,n,,"Bromo-4-fluorobenzene, 1-"
Bromobenzene (108-86-1),108-86-1,29,n,180,n,6.3,n,26,n,6.2,n,,0.0042,n,,Bromobenzene
Bromochloromethane (74-97-5),74-97-5,15,n,63,n,4.2,n,18,n,8.3,n,,0.0021,n,,Bromochloromethane
Bromodichloromethane (75-27-4),75-27-4,0.29,c,1.3,c,0.076,c,0.33,c,0.13,c,8.0E+01(F),3.6E-05,c,0.022,Bromodichloromethane
Bromoform (75-25-2),75-25-2,19,c**,86,c*,2.6,c,11,c,3.3,c*,8.0E+01(F),0.00087,c*,0.021,Bromoform
Bromomethane (74-83-9),74-83-9,0.68,n,3,n,0.52,n,2.2,n,0.75,n,,0.00019,n,,Bromomethane
Bromophos (2104-96-3),2104-96-3,39,n,580,n,        ,,        ,,3.5,n,,0.015,n,,Bromophos
"Bromopropane, 1- (106-94-5)",106-94-5,22,n,94,n,10,n,44,n,21,n,,0.0064,n,,"Bromopropane, 1-"
Bromoxynil (1689-84-5),1689-84-5,5.3,c*,22,c*,        ,,        ,,0.61,c*,,0.00052,c*,,Bromoxynil
Bromoxynil Octanoate (1689-99-2),1689-99-2,6.7,c*,32,c*,        ,,        ,,0.24,c*,,0.0021,c*,,Bromoxynil Octanoate
"Butadiene, 1,3- (106-99-0)",106-99-0,0.058,c**,0.26,c**,0.094,c**,0.41,c**,0.018,c*,,9.9E-06,c*,,"Butadiene, 1,3-"
"Butanoic acid, 4-(2,4-dichlorophenoxy)- (94-82-6)",94-82-6,190,n,2500,n,        ,,        ,,45,n,,0.042,n,,"Butanoic acid, 4-(2,4-dichlorophenoxy)-"
"Butanol, N- (71-36-3)",71-36-3,780,n,12000,ns,        ,,        ,,200,n,,0.041,n,,"Butanol, N-"
"Butyl alcohol, sec- (78-92-2)",78-92-2,13000,n,150000,nms,3100,n,13000,n,2400,n,,0.5,n,,"Butyl alcohol, sec-"
Butylate (2008-41-5),2008-41-5,390,n,5800,n,        ,,        ,,46,n,,0.045,n,,Butylate
Butylated hydroxyanisole (25013-16-5),25013-16-5,2700,c,11000,c,49,c,220,c,150,c,,0.29,c,,Butylated hydroxyanisole
Butylated hydroxytoluene (128-37-0),128-37-0,150,c*,640,c*,        ,,        ,,3.4,c*,,0.1,c*,,Butylated hydroxytoluene
"Butylbenzene, n- (104-51-8)",104-51-8,390,ns,5800,ns,        ,,        ,,100,n,,0.32,n,,"Butylbenzene, n-"
"Butylbenzene, sec- (135-98-8)",135-98-8,780,ns,12000,ns,        ,,        ,,200,n,,0.59,n,,"Butylbenzene, sec-"
"Butylbenzene, tert- (98-06-6)",98-06-6,780,ns,12000,ns,        ,,        ,,69,n,,0.16,n,,"Butylbenzene, tert-"
Cacodylic Acid (75-60-5),75-60-5,130,n,1600,n,        ,,        ,,40,n,,0.011,n,,Cacodylic Acid
Cadmium (Diet) (7440-43-9),7440-43-9,7.1,n,98,n,        ,,        ,,        ,,,        ,,,Cadmium (Diet)
Cadmium (Water) (7440-43-9),7440-43-9,        ,,        ,,0.001,n,0.0044,n,0.92,n,5,0.069,n,0.38,Cadmium (Water)
Caprolactam (105-60-2),105-60-2,3100,n,40000,n,0.23,n,0.96,n,990,n,,0.25,n,,Caprolactam
Captafol (2425-06-1),2425-06-1,3.6,c**,15,c*,0.065,c,0.29,c,0.4,c**,,0.00071,c**,,Captafol
Captan (133-06-2),133-06-2,240,c**,1000,c*,4.3,c,19,c,31,c**,,0.022,c**,,Captan
Carbaryl (63-25-2),63-25-2,630,n,8200,n,        ,,        ,,180,n,,0.17,n,,Carbaryl
Carbofuran (1563-66-2),1563-66-2,32,n,410,n,        ,,        ,,9.4,n,40,0.0037,n,0.016,Carbofuran
Carbon Disulfide (75-15-0),75-15-0,77,n,350,n,73,n,310,n,81,n,,0.024,n,,Carbon Disulfide
Carbon Tetrachloride (56-23-5),56-23-5,0.65,c*,2.9,c*,0.47,c*,2,c*,0.46,c*,5,0.00018,c*,0.0019,Carbon Tetrachloride
Carbonyl Sulfide (463-58-1),463-58-1,6.7,n,28,n,10,n,44,n,21,n,,0.051,n,,Carbonyl Sulfide
Carbosulfan (55285-14-8),55285-14-8,63,n,820,n,        ,,        ,,5.1,n,,0.12,n,,Carbosulfan
Carboxin (5234-68-4),5234-68-4,630,n,8200,n,        ,,        ,,190,n,,0.1,n,,Carboxin
Ceric oxide (1306-38-3),1306-38-3,130000,nm,540000,nm,0.094,n,0.39,n,        ,,,        ,,,Ceric oxide
Chloral Hydrate (302-17-0),302-17-0,780,n,12000,n,        ,,        ,,200,n,,0.04,n,,Chloral Hydrate
Chloramben (133-90-4),133-90-4,95,n,1200,n,        ,,        ,,29,n,,0.007,n,,Chloramben
Chloranil (118-75-2),118-75-2,1.3,c,5.7,c,        ,,        ,,0.18,c,,0.00015,c,,Chloranil
Chlordane (12789-03-6),12789-03-6,1.7,c**,7.7,c**,0.028,c**,0.12,c**,0.02,c**,2,0.0027,c**,0.27,Chlordane
Chlordecone (Kepone) (143-50-0),143-50-0,0.054,c*,0.23,c,0.00061,c,0.0027,c,0.0035,c*,,0.00012,c*,,Chlordecone (Kepone)
Chlorfenvinphos (470-90-6),470-90-6,4.4,n,57,n,        ,,        ,,1.1,n,,0.0031,n,,Chlorfenvinphos
"Chlorimuron, Ethyl- (90982-32-4)",90982-32-4,570,n,7400,n,        ,,        ,,180,n,,0.06,n,,"Chlorimuron, Ethyl-"
Chlorine (7782-50-5),7782-50-5,0.018,n,0.078,n,0.015,n,0.064,n,0.03,n,,1.4E-05,n,,Chlorine
Chlorine Dioxide (10049-04-4),10049-04-4,230,n,3400,n,0.021,n,0.088,n,0.042,n,,        ,n,,Chlorine Dioxide
Chlorite (Sodium Salt) (7758-19-2),7758-19-2,230,n,3500,n,        ,,        ,,60,n,1000,        ,n,,Chlorite (Sodium Salt)
"Chloro-1,1-difluoroethane, 1- (75-68-3)",75-68-3,5400,ns,23000,ns,5200,n,22000,n,10000,n,,5.2,n,,"Chloro-1,1-difluoroethane, 1-"
"Chloro-1,3-butadiene, 2- (126-99-8)",126-99-8,0.01,c,0.044,c,0.0094,c,0.041,c,0.019,c,,9.8E-06,c,,"Chloro-1,3-butadiene, 2-"
"Chloro-2-methylaniline HCl, 4- (3165-93-3)",3165-93-3,1.2,c,5,c,        ,,        ,,0.17,c,,0.00015,c,,"Chloro-2-methylaniline HCl, 4-"
"Chloro-2-methylaniline, 4- (95-69-2)",95-69-2,5.4,c**,23,c*,0.036,c,0.16,c,0.7,c**,,0.0004,c**,,"Chloro-2-methylaniline, 4-"
"Chloroacetaldehyde, 2- (107-20-0)",107-20-0,2.6,c,12,c,        ,,        ,,0.29,c,,5.8E-05,c,,"Chloroacetaldehyde, 2-"
Chloroacetic Acid (79-11-8),79-11-8,        ,,        ,,        ,,        ,,        ,,60,        ,,0.012,Chloroacetic Acid
"Chloroacetophenone, 2- (532-27-4)",532-27-4,4300,n,18000,n,0.0031,n,0.013,n,        ,,,        ,,,"Chloroacetophenone, 2-"
"Chloroaniline, p- (106-47-8)",106-47-8,2.7,c**,11,c*,        ,,        ,,0.37,c*,,0.00016,c*,,"Chloroaniline, p-"
Chlorobenzene (108-90-7),108-90-7,28,n,130,n,5.2,n,22,n,7.8,n,100,0.0053,n,0.068,Chlorobenzene
"Chlorobenzene sulfonic acid, p- (98-66-8)",98-66-8,630,n,8200,n,        ,,        ,,200,n,,0.047,n,,"Chlorobenzene sulfonic acid, p-"
Chlorobenzilate (510-15-6),510-15-6,4.9,c*,21,c*,0.091,c,0.4,c,0.31,c*,,0.001,c*,,Chlorobenzilate
"Chlorobenzoic Acid, p- (74-11-3)",74-11-3,190,n,2500,n,        ,,        ,,51,n,,0.013,n,,"Chlorobenzoic Acid, p-"
"Chlorobenzotrifluoride, 4- (98-56-6)",98-56-6,21,n,250,n,31,n,130,n,3.5,n,,0.012,n,,"Chlorobenzotrifluoride, 4-"
"Chlorobutane, 1- (109-69-3)",109-69-3,310,n,4700,ns,        ,,        ,,64,n,,0.026,n,,"Chlorobutane, 1-"
Chlorodifluoromethane (75-45-6),75-45-6,4900,ns,21000,ns,5200,n,22000,n,10000,n,,4.3,n,,Chlorodifluoromethane
"Chloroethanol, 2- (107-07-3)",107-07-3,160,n,2300,n,        ,,        ,,40,n,,0.0081,n,,"Chloroethanol, 2-"
Chloroform (67-66-3),67-66-3,0.32,c*,1.4,c*,0.12,c*,0.53,c*,0.22,c*,8.0E+01(F),6.1E-05,c*,0.022,Chloroform
Chloromethane (74-87-3),74-87-3,11,n,46,n,9.4,n,39,n,19,n,,0.0049,n,,Chloromethane
Chloromethyl Methyl Ether (107-30-2),107-30-2,0.02,c,0.089,c,0.0041,c,0.018,c,0.0065,c,,1.4E-06,c,,Chloromethyl Methyl Ether
"Chloronitrobenzene, o- (88-73-3)",88-73-3,1.8,c*,7.7,c*,0.001,n,0.0044,n,0.24,c*,,0.00022,c*,,"Chloronitrobenzene, o-"
"Chloronitrobenzene, p- (100-00-5)",100-00-5,4.4,n,38,c**,0.21,n,0.88,n,1.2,c**,,0.0011,c**,,"Chloronitrobenzene, p-"
"Chlorophenol, 2- (95-57-8)",95-57-8,39,n,580,n,        ,,        ,,9.1,n,,0.0089,n,,"Chlorophenol, 2-"
Chloropicrin (76-06-2),76-06-2,0.2,n,0.82,n,0.042,n,0.18,n,0.083,n,,2.5E-05,n,,Chloropicrin
Chlorothalonil (1897-45-6),1897-45-6,95,n,740,c**,3.2,c,14,c,22,c**,,0.05,c**,,Chlorothalonil
"Chlorotoluene, o- (95-49-8)",95-49-8,160,n,2300,ns,        ,,        ,,24,n,,0.023,n,,"Chlorotoluene, o-"
"Chlorotoluene, p- (106-43-4)",106-43-4,160,n,2300,ns,        ,,        ,,25,n,,0.024,n,,"Chlorotoluene, p-"
Chlorozotocin (54749-90-5),54749-90-5,0.0023,c,0.0096,c,4.1E-05,c,0.00018,c,0.00032,c,,7.1E-08,c,,Chlorozotocin
Chlorpropham (101-21-3),101-21-3,320,n,4100,n,        ,,        ,,71,n,,0.064,n,,Chlorpropham
Chlorpyrifos (2921-88-2),2921-88-2,6.3,n,82,n,        ,,        ,,0.84,n,,0.012,n,,Chlorpyrifos
Chlorpyrifos Methyl (5598-13-0),5598-13-0,63,n,820,n,        ,,        ,,12,n,,0.054,n,,Chlorpyrifos Methyl
Chlorsulfuron (64902-72-3),64902-72-3,320,n,4100,n,        ,,        ,,99,n,,0.083,n,,Chlorsulfuron
Chlorthal-dimethyl (1861-32-1),1861-32-1,63,n,820,n,        ,,        ,,12,n,,0.015,n,,Chlorthal-dimethyl
Chlorthiophos (60238-56-4),60238-56-4,5.1,n,66,n,        ,,        ,,0.28,n,,0.0073,n,,Chlorthiophos
"Chromium(III), Insoluble Salts (16065-83-1)",16065-83-1,12000,n,180000,nm,        ,,        ,,2200,n,,4000000,n,,"Chromium(III), Insoluble Salts"
Chromium(VI) (18540-29-9),18540-29-9,0.3,c*,6.3,c*,1.2E-05,c,0.00015,c,0.035,c,,0.00067,c,,Chromium(VI)
"Chromium, Total (7440-47-3)",7440-47-3,        ,,        ,,        ,,        ,,        ,,100,        ,,180000,"Chromium, Total"
Clofentezine (74115-24-5),74115-24-5,82,n,1100,n,        ,,        ,,23,n,,1.4,n,,Clofentezine
Cobalt (7440-48-4),7440-48-4,2.3,n,35,n,0.00031,c**,0.0014,c**,0.6,n,,0.027,n,,Cobalt
Coke Oven Emissions (8007-45-2),8007-45-2,        ,,        ,,0.0016,c,0.02,c,        ,,,        ,,,Coke Oven Emissions
Copper (7440-50-8),7440-50-8,310,n,4700,n,        ,,        ,,80,n,1300,2.8,n,46,Copper
"Cresol, m- (108-39-4)",108-39-4,320,n,4100,n,63,n,260,n,93,n,,0.074,n,,"Cresol, m-"
"Cresol, o- (95-48-7)",95-48-7,320,n,4100,n,63,n,260,n,93,n,,0.075,n,,"Cresol, o-"
"Cresol, p- (106-44-5)",106-44-5,630,n,8200,n,63,n,260,n,190,n,,0.15,n,,"Cresol, p-"
"Cresol, p-chloro-m- (59-50-7)",59-50-7,630,n,8200,n,        ,,        ,,140,n,,0.17,n,,"Cresol, p-chloro-m-"
Cresols (1319-77-3),1319-77-3,630,n,8200,n,63,n,260,n,150,n,,0.13,n,,Cresols
"Crotonaldehyde, trans- (123-73-9)",123-73-9,0.37,c*,1.7,c*,        ,,        ,,0.04,c*,,8.2E-06,c*,,"Crotonaldehyde, trans-"
Cumene (98-82-8),98-82-8,190,n,990,ns,42,n,180,n,45,n,,0.074,n,,Cumene
Cupferron (135-20-6),135-20-6,2.5,c,10,c,0.045,c,0.19,c,0.35,c,,0.00061,c,,Cupferron
Cyanazine (21725-46-2),21725-46-2,0.65,c*,2.7,c*,        ,,        ,,0.088,c*,,4.1E-05,c*,,Cyanazine
Cyclohexane (110-82-7),110-82-7,650,ns,2700,ns,630,n,2600,n,1300,n,,1.3,n,,Cyclohexane
"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro- (87-84-3)",87-84-3,27,c**,110,c*,        ,,        ,,2.8,c*,,0.016,c*,,"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-"
Cyclohexanone (108-94-1),108-94-1,2800,n,13000,ns,73,n,310,n,140,n,,0.034,n,,Cyclohexanone
Cyclohexene (110-83-8),110-83-8,31,n,310,ns,100,n,440,n,7,n,,0.0046,n,,Cyclohexene
Cyclohexylamine (108-91-8),108-91-8,1600,n,23000,n,        ,,        ,,380,n,,0.1,n,,Cyclohexylamine
Cyfluthrin (68359-37-5),68359-37-5,160,n,2100,n,        ,,        ,,12,n,,3.1,n,,Cyfluthrin
Cyhalothrin (68085-85-8),68085-85-8,6.3,n,82,n,        ,,        ,,2,n,,1.4,n,,Cyhalothrin
Cyromazine (66215-27-8),66215-27-8,3200,n,41000,n,        ,,        ,,990,n,,0.25,n,,Cyromazine
Dalapon (75-99-0),75-99-0,190,n,2500,n,        ,,        ,,60,n,200,0.012,n,0.041,Dalapon
Daminozide (1596-84-5),1596-84-5,30,c*,130,c*,0.55,c,2.4,c,4.3,c*,,0.00095,c*,,Daminozide
"DDD, p,p'- (DDD) (72-54-8)",72-54-8,0.19,n,2.5,n,0.041,c,0.18,c,0.0063,n,,0.0015,n,,"DDD, p,p'- (DDD)"
"DDE, p,p'- (72-55-9)",72-55-9,2,c**,9.3,c**,0.029,c,0.13,c,0.046,c*,,0.011,c*,,"DDE, p,p'-"
DDT (50-29-3),50-29-3,1.9,c**,8.5,c**,0.029,c,0.13,c,0.23,c**,,0.077,c**,,DDT
"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209) (1163-19-5)",1163-19-5,44,n,570,n,        ,,        ,,14,n,,7.8,n,,"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)"
Demeton (8065-48-3),8065-48-3,0.25,n,3.3,n,        ,,        ,,0.042,n,,        ,n,,Demeton
Di(2-ethylhexyl)adipate (103-23-1),103-23-1,450,c**,1900,c*,        ,,        ,,65,c*,400,4.7,c*,29,Di(2-ethylhexyl)adipate
Diallate (2303-16-4),2303-16-4,8.9,c,38,c,        ,,        ,,0.54,c,,0.0008,c,,Diallate
Diazinon (333-41-5),333-41-5,4.4,n,57,n,        ,,        ,,1,n,,0.0065,n,,Diazinon
Dibenzothiophene (132-65-0),132-65-0,78,n,1200,n,        ,,        ,,6.5,n,,0.12,n,,Dibenzothiophene
"Dibromo-3-chloropropane, 1,2- (96-12-8)",96-12-8,0.0053,c*,0.064,c*,0.00017,c,0.002,c*,0.00033,c,0.2,1.4E-07,c,8.6E-05,"Dibromo-3-chloropropane, 1,2-"
"Dibromobenzene, 1,3- (108-36-1)",108-36-1,3.1,n,47,n,        ,,        ,,0.53,n,,0.00051,n,,"Dibromobenzene, 1,3-"
"Dibromobenzene, 1,4- (106-37-6)",106-37-6,78,n,1200,n,        ,,        ,,13,n,,0.012,n,,"Dibromobenzene, 1,4-"
Dibromochloromethane (124-48-1),124-48-1,8.3,c*,39,c*,        ,,        ,,0.87,c*,8.0E+01(F),0.00023,c*,0.021,Dibromochloromethane
"Dibromoethane, 1,2- (106-93-4)",106-93-4,0.036,c,0.16,c,0.0047,c,0.02,c,0.0075,c,0.05,2.1E-06,c,1.4E-05,"Dibromoethane, 1,2-"
Dibromomethane (Methylene Bromide) (74-95-3),74-95-3,2.4,n,9.9,n,0.42,n,1.8,n,0.83,n,,0.00021,n,,Dibromomethane (Methylene Bromide)
Dibutyltin Compounds (E1790660),E1790660,1.9,n,25,n,        ,,        ,,0.6,n,,        ,n,,Dibutyltin Compounds
Dicamba (1918-00-9),1918-00-9,190,n,2500,n,        ,,        ,,57,n,,0.015,n,,Dicamba
"Dichloro-2-butene, 1,4- (764-41-0)",764-41-0,0.0021,c,0.0094,c,0.00067,c,0.0029,c,0.0013,c,,6.6E-07,c,,"Dichloro-2-butene, 1,4-"
"Dichloro-2-butene, cis-1,4- (1476-11-5)",1476-11-5,0.0074,c,0.032,c,0.00067,c,0.0029,c,0.0013,c,,6.2E-07,c,,"Dichloro-2-butene, cis-1,4-"
"Dichloro-2-butene, trans-1,4- (110-57-6)",110-57-6,0.0074,c,0.032,c,0.00067,c,0.0029,c,0.0013,c,,6.2E-07,c,,"Dichloro-2-butene, trans-1,4-"
Dichloroacetic Acid (79-43-6),79-43-6,11,c**,46,c**,        ,,        ,,1.5,c**,60,0.00031,c**,0.012,Dichloroacetic Acid
"Dichlorobenzene, 1,2- (95-50-1)",95-50-1,180,n,930,ns,21,n,88,n,30,n,600,0.03,n,0.58,"Dichlorobenzene, 1,2-"
"Dichlorobenzene, 1,4- (106-46-7)",106-46-7,2.6,c,11,c,0.26,c,1.1,c,0.48,c,75,0.00046,c,0.072,"Dichlorobenzene, 1,4-"
"Dichlorobenzidine, 3,3'- (91-94-1)",91-94-1,1.2,c,5.1,c,0.0083,c,0.036,c,0.13,c,,0.00082,c,,"Dichlorobenzidine, 3,3'-"
"Dichlorobenzophenone, 4,4'- (90-98-2)",90-98-2,57,n,740,n,        ,,        ,,7.8,n,,0.047,n,,"Dichlorobenzophenone, 4,4'-"
Dichlorodifluoromethane (75-71-8),75-71-8,8.7,n,37,n,10,n,44,n,20,n,,0.03,n,,Dichlorodifluoromethane
